# board=.../docs/examples/enabtmr.bot.etch.tap
# tool size=0.005000
# pass=1
-0.43150, 0.28439,-0.43150, 0.28438
-0.43150, 0.28438,-0.44345, 0.25554
-0.44345, 0.25554,-0.44345, 0.25553
-0.44345, 0.25553,-0.46553, 0.23345
-0.46553, 0.23345,-0.46554, 0.23345
-0.46554, 0.23345,-0.49438, 0.22150
-0.49438, 0.22150,-0.49439, 0.22150
-0.49439, 0.22150,-0.50433, 0.22150
-0.50433, 0.22150,-0.50433, 0.22150
-0.50433, 0.22150,-0.51000, 0.22150
-0.51000, 0.22150,-0.51567, 0.22150
-0.51567, 0.22150,-1.04000, 0.22150
-1.04000, 0.22150,-1.04419, 0.22109
-1.04419, 0.22109,-1.05194, 0.21787
-1.05194, 0.21787,-1.05787, 0.21194
-1.05787, 0.21194,-1.06109, 0.20419
-1.06109, 0.20419,-1.06150, 0.20000
-1.06150, 0.20000,-1.06150, 0.19701
-1.06150, 0.19701,-1.06150, 0.19433
-1.06150, 0.19433,-1.06150, 0.14433
-1.06150, 0.14433,-1.06150, 0.14432
-1.06150, 0.14432,-1.06150, 0.13439
-1.06150, 0.13439,-1.07345, 0.10554
-1.07345, 0.10554,-1.07345, 0.10553
-1.07345, 0.10553,-1.09553, 0.08346
-1.09553, 0.08346,-1.09553, 0.08345
-1.09553, 0.08345,-1.09554, 0.08345
-1.09554, 0.08345,-1.12438, 0.07150
-1.12438, 0.07150,-1.12439, 0.07150
-1.12439, 0.07150,-1.13432, 0.07150
-1.13432, 0.07150,-1.13433, 0.07150
-1.13433, 0.07150,-1.60567, 0.07150
-1.60567, 0.07150,-1.60567, 0.07150
-1.60567, 0.07150,-1.61561, 0.07150
-1.61561, 0.07150,-1.61561, 0.07150
-1.61561, 0.07150,-1.64446, 0.08345
-1.64446, 0.08345,-1.64446, 0.08345
-1.64446, 0.08345,-1.66654, 0.10553
-1.66654, 0.10553,-1.66654, 0.10554
-1.66654, 0.10554,-1.67849, 0.13438
-1.67849, 0.13438,-1.67849, 0.13439
-1.67849, 0.13439,-1.67849, 0.14432
-1.67849, 0.14432,-1.67850, 0.14433
-1.67850, 0.14433,-1.67850, 0.15087
-1.67850, 0.15087,-1.67850, 0.15567
-1.67850, 0.15567,-1.67850, 0.86567
-1.67850, 0.86567,-1.67849, 0.86567
-1.67849, 0.86567,-1.67849, 0.87561
-1.67849, 0.87561,-1.67849, 0.87561
-1.67849, 0.87561,-1.66654, 0.90446
-1.66654, 0.90446,-1.66654, 0.90446
-1.66654, 0.90446,-1.64446, 0.92654
-1.64446, 0.92654,-1.64446, 0.92654
-1.64446, 0.92654,-1.61561, 0.93849
-1.61561, 0.93849,-1.61561, 0.93849
-1.61561, 0.93849,-1.60567, 0.93849
-1.60567, 0.93849,-1.60567, 0.93850
-1.60567, 0.93850,-1.60000, 0.93850
-1.60000, 0.93850,-1.59433, 0.93850
-1.59433, 0.93850,-1.33719, 0.93850
-1.33719, 0.93850,-1.33050, 0.94518
-1.33050, 0.94518,-1.31526, 0.95150
-1.31526, 0.95150,-1.18474, 0.95150
-1.18474, 0.95150,-1.16949, 0.94518
-1.16949, 0.94518,-1.15782, 0.93350
-1.15782, 0.93350,-1.15150, 0.91826
-1.15150, 0.91826,-1.15150, 0.90174
-1.15150, 0.90174,-1.15782, 0.88649
-1.15782, 0.88649,-1.16949, 0.87482
-1.16949, 0.87482,-1.18474, 0.86850
-1.18474, 0.86850,-1.31526, 0.86850
-1.31526, 0.86850,-1.33050, 0.87482
-1.33050, 0.87482,-1.33719, 0.88150
-1.33719, 0.88150,-1.59433, 0.88150
-1.59433, 0.88150,-1.60000, 0.88150
-1.60000, 0.88150,-1.60419, 0.88109
-1.60419, 0.88109,-1.61194, 0.87787
-1.61194, 0.87787,-1.61787, 0.87194
-1.61787, 0.87194,-1.62109, 0.86419
-1.62109, 0.86419,-1.62150, 0.86000
-1.62150, 0.86000,-1.62150, 0.15567
-1.62150, 0.15567,-1.62150, 0.15082
-1.62150, 0.15082,-1.62150, 0.15000
-1.62150, 0.15000,-1.62109, 0.14580
-1.62109, 0.14580,-1.61787, 0.13805
-1.61787, 0.13805,-1.61194, 0.13212
-1.61194, 0.13212,-1.60419, 0.12891
-1.60419, 0.12891,-1.60000, 0.12850
-1.60000, 0.12850,-1.13998, 0.12850
-1.13998, 0.12850,-1.13580, 0.12891
-1.13580, 0.12891,-1.12805, 0.13212
-1.12805, 0.13212,-1.12212, 0.13805
-1.12212, 0.13805,-1.11891, 0.14580
-1.11891, 0.14580,-1.11850, 0.15000
-1.11850, 0.15000,-1.11850, 0.19433
-1.11850, 0.19433,-1.11850, 0.19704
-1.11850, 0.19704,-1.11850, 0.20567
